segment	word	token.code	dur	step	stepSize	start.time	end.time	jitter	shimmer	hnr	f1	f2	f3	H1Hz	H2Hz	H1-H2	H1dB	H2dB	H1-A1	A1dB	H1-A2	A2dB	H1-A3	A3dB	pitch.range.min	pitch.range.max	prec.seg	next.seg	prec.seg.wd	next.seg.wd	speaker
IS0	tijb7ij	S01-chunked_aaq-6-7-14	160	1	0.08	2.41	2.49	0.0073	0.1069	25.4079	515.92	1846.936	2925.36	213.67	427.34	-1.6731	51.5716	53.2511	21.7717	29.736	23.3156	28.1889	24.6156	26.8863	132.919	480.015	T	H	T	H	S01
IS0	tijb7ij	S01-chunked_aaq-6-7-14	160	2	0.08	2.49	2.57	0.0379	0.1069	21.0645	749.93	1944.09	3096.885	173.391	346.782	7.4234	55.009	47.5712	16.139	38.8414	20.4812	34.4931	27.7312	27.2346	132.919	480.015	T	H	T	H	S01
IS1	tijb7ij	S01-chunked_aaq-6-7-17	490	1	0.245	2.86	3.105	NA	0.1069	NA	1103.091	3483.445	3787.495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
IS1	tijb7ij	S01-chunked_aaq-6-7-17	490	2	0.245	3.105	3.35	NA	0.1069	NA	1121.189	3763.121	3813.791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
AS1	yaj	S01-chunked_ab7aj-7-2-3	30	1	0.015	0.51	0.525	NA	0.1028	NA	980.81	2277.172	3329.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
AS1	yaj	S01-chunked_ab7aj-7-2-3	30	2	0.015	0.525	0.54	NA	0.1028	NA	937.619	2386.883	3264.969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
ES1	tek7	S01-chunked_ab7aj-7-3-6	160	1	0.08	0.89	0.97	0.0062	0.1028	14.8527	521.159	2406.514	3243.75	225.168	450.337	-1.1101	56.582	57.6965	2.4028	54.1701	21.6853	34.8288	23.9277	32.5813	132.919	480.015	T	KG	T	KG	S01
ES1	tek7	S01-chunked_ab7aj-7-3-6	160	2	0.08	0.97	1.05	0.0233	0.1028	24.7022	506.929	2542.985	3097.747	238.037	476.075	-5.1891	53.0376	58.2475	-5.1891	58.2475	17.8124	35.1687	16.8933	36.0901	132.919	480.015	T	KG	T	KG	S01
AS0	ab7aj	S01-chunked_ab7aj-7-5-10	81.53	1	0.04076	1.276	1.317	0.0162	0.1028	24.3424	775.62	1554.57	2788.585	200.335	400.67	3.6683	47.6347	43.9603	7.0001	40.6234	13.3314	34.2835	24.7216	22.8815	132.919	480.015	GS	BG	GS	BG	S01
AS0	ab7aj	S01-chunked_ab7aj-7-5-10	81.53	2	0.04076	1.317	1.357	0.018	0.1028	23.587	529.251	1404.477	2754.362	188.298	376.595	0.9005	47.5241	46.6209	5.3538	42.1554	10.1174	37.3801	27.3419	20.1249	132.919	480.015	GS	BG	GS	BG	S01
