segment	code	word	start.time	token.code	interval.num	step	step.size	seg.dur	pitch.Hz	pitch.ERB	mean.pitch.Hz	mean.pitch.ERB	min.pitch.Hz	min.pitch.ERB	max.pitch.Hz	max.pitch.ERB	pitch.range.min	pitch.range.max	speaker
EST1	jtéleb7-jtélb7-g-m	jte8lb7	2534.143	S01-20	20	6	0.0078	70.340	266.874	6.6844	267.827	6.7016	252.993	6.4237	279.050	6.9077	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-g-m	jte8lb7	2534.143	S01-20	20	7	0.0078	70.340	266.258	6.6730	267.827	6.7016	252.993	6.4237	279.050	6.9077	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-g-m	jte8lb7	2534.143	S01-20	20	8	0.0078	70.340	263.444	6.6205	267.827	6.7016	252.993	6.4237	279.050	6.9077	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-g-m	jte8lb7	2534.143	S01-20	20	9	0.0078	70.340	257.748	6.5135	267.827	6.7016	252.993	6.4237	279.050	6.9077	148.9578	479.6016	S01
OL1	qapoop-jpoop-f-m	jpoop	884.665	S01-21	7	1	0.0176	158.628	248.305	6.3340	260.913	6.5706	244.920	6.2690	284.739	7.0113	148.9578	479.6016	S01
OL1	qapoop-jpoop-f-m	jpoop	884.665	S01-21	7	2	0.0176	158.628	248.327	6.3345	260.913	6.5706	244.920	6.2690	284.739	7.0113	148.9578	479.6016	S01
OL1	qapoop-jpoop-f-m	jpoop	884.665	S01-21	7	3	0.0176	158.628	248.881	6.3451	260.913	6.5706	244.920	6.2690	284.739	7.0113	148.9578	479.6016	S01
OL1	qapoop-jpoop-f-m	jpoop	884.665	S01-21	7	4	0.0176	158.628	252.261	6.4097	260.913	6.5706	244.920	6.2690	284.739	7.0113	148.9578	479.6016	S01
OL1	qapoop-jpoop-f-m	jpoop	884.665	S01-21	7	5	0.0176	158.628	256.671	6.4933	260.913	6.5706	244.920	6.2690	284.739	7.0113	148.9578	479.6016	S01
OL1	qapoop-jpoop-f-m	jpoop	884.665	S01-21	7	6	0.0176	158.628	263.376	6.6192	260.913	6.5706	244.920	6.2690	284.739	7.0113	148.9578	479.6016	S01
OL1	qapoop-jpoop-f-m	jpoop	884.665	S01-21	7	7	0.0176	158.628	270.812	6.7571	260.913	6.5706	244.920	6.2690	284.739	7.0113	148.9578	479.6016	S01
OL1	qapoop-jpoop-f-m	jpoop	884.665	S01-21	7	8	0.0176	158.628	277.779	6.8847	260.913	6.5706	244.920	6.2690	284.739	7.0113	148.9578	479.6016	S01
OL1	qapoop-jpoop-f-m	jpoop	884.665	S01-21	7	9	0.0176	158.628	281.804	6.9577	260.913	6.5706	244.920	6.2690	284.739	7.0113	148.9578	479.6016	S01
